269.00
10
307905259
185430907
0 1 1 27 30.00 8 (D 0,1,1) (S 32,5,8) (S 5,7,7) (S 31,2,8) (S 35,1,5) (D 0,1,1)
0 1 2 14 22.00 10 (D 0,1,1) (S 9,1,4) (S 14,4,5) (S 19,8,11) (S 27,4,9) (S 22,3,7) (D 0,1,1)
0 1 3 16 24.00 9 (D 0,1,1) (S 8,10,10) (S 24,2,5) (S 10,1,8) (S 30,3,11) (S 2,3,3) (D 0,1,1)
0 1 4 21 32.00 8 (D 0,1,1) (S 23,3,10) (S 34,1,11) (S 46,4,7) (S 3,4,4) (D 0,1,1)
0 1 5 19 22.00 6 (D 0,1,1) (S 28,2,7) (S 12,6,9) (S 25,1,6) (S 40,1,10) (D 0,1,1)
0 1 6 25 27.00 8 (D 0,1,1) (S 36,1,7) (S 43,5,11) (S 1,2,2) (S 16,6,11) (S 42,2,6) (D 0,1,1)
0 1 7 23 28.00 8 (D 0,1,1) (S 18,7,9) (S 4,5,5) (S 38,3,8) (S 37,3,5) (D 0,1,1)
0 1 8 22 20.00 7 (D 0,1,1) (S 33,6,7) (S 39,2,11) (S 26,2,4) (S 41,1,3) (D 0,1,1)
0 1 9 24 26.00 7 (D 0,1,1) (S 13,2,3) (S 44,6,10) (S 20,3,9) (S 48,4,10) (D 0,1,1)
0 1 10 24 24.00 6 (D 0,1,1) (S 45,2,10) (S 47,4,8) (S 7,9,9) (D 0,1,1)
