683.00
10
209168467
178845374
0 1 1 20 77.00 7 (D 0,1,1) (S 21,8,9) (S 25,21,23) (S 35,18,21) (D 0,1,1)
0 1 2 26 75.00 6 (D 0,1,1) (S 18,1,27) (S 9,15,15) (S 15,26,26) (D 0,1,1)
0 1 3 26 82.00 7 (D 0,1,1) (S 7,13,13) (S 31,16,17) (S 1,2,2) (S 29,6,10) (D 0,1,1)
0 1 4 25 78.00 6 (D 0,1,1) (S 22,24,27) (S 4,5,5) (S 10,18,18) (D 0,1,1)
0 1 5 24 55.00 7 (D 0,1,1) (S 2,3,3) (S 16,5,9) (S 34,10,11) (S 14,25,25) (D 0,1,1)
0 1 6 25 76.00 7 (D 0,1,1) (S 3,4,4) (S 20,6,7) (S 28,23,26) (D 0,1,1)
0 1 7 14 59.00 7 (D 0,1,1) (S 30,22,23) (S 37,12,13) (S 17,21,25) (S 36,2,1) (D 0,1,1)
0 1 8 18 40.00 5 (D 0,1,1) (S 32,14,16) (S 24,3,8) (S 19,1,19) (D 0,1,1)
0 1 9 23 75.00 6 (D 0,1,1) (S 27,21,22) (S 5,6,6) (S 26,20,21) (D 0,1,1)
0 1 10 12 54.00 6 (D 0,1,1) (S 6,7,7) (S 13,24,24) (S 11,22,22) (D 0,1,1)
